English,Spanish
you,Uds
to,a
the,el
a or A.,a o A.
and,y
that,ese
it,eso
of,de
me,yo
what,que
is,es
in,en
this,esta
know,saber
I'm,estoy
for,por
no,No
have,tener
my,mi
don't,no
just,solo
not,no
do,hacer
be,ser
on,sobre
your,tu
was,era
we,nosotros
it's,es
with,con
so,entonces
but,pero
all,todo
well,bien
are,son
he,�l
oh,Oh
about,acerca de
right,derecho
get,obtener
out,fuera
going,yendo
like,me gusta
if,Si
her,ella
she,ella
can,poder
up,arriba
want,desear
think,pensar
that's,ese es
now,ahora
go,Vamos
at,en
got,tiene
one,una
did,hizo
see,ver
come,venir
good,bien
they,ellos
really,De Verdad
as,como
look,Mira
time,hora
okay,bueno
back,espalda
mean,significar
tell,contar
I'll,voy a
from,desde
hey,Oye
were,fueron
could,pudo
didn't,no
his,su
been,estado
or,o
something,algo
because,porque
some,algunos
had,tenido
then,entonces
say,decir
ok,OK
take,llevar
an,un
way,camino
us,nosotros
make,fabricar
need,necesitar
gonna,ir a
never,nunca
we're,fueron
love,amor
she's,ella esta
I've,He
sure,seguro
them,ellos
over,encima
our,nuestro
sorry,lo siento
where,donde
let,dejar
thing,cosa
am,soy
down,abajo
man,hombre
has,posee
uh,Oh
very,muy
by,por
there's,hay
anything,cualquier cosa
said,dicho
much,mucho
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solo
help,ayuda
two,dos
talk,hablar
people,personas
god,Dios
wait,Espere
into,en
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,vamos
doesn't,no
call,llamar
told,dijo
great,estupendo
before,antes de
better,mejor
ever,alguna vez
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajo
you've,tienes
fine,multa
home,casa
last,ultimo
these,estos
keep,mantenerse
does,lo hace
put,poner
around,alrededor
stop,detener
they're,son
guy,chico
long,largo
isn't,no es
always,siempre
listen,escucha
wanted,querido
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
thanks,Gracias
kind,amable
wrong,incorrecto
through,mediante
talking,hablando
made,hecho
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
remember,recordar
getting,consiguiendo
we'll,bien
together,juntos
dad,padre
leave,salir
place,lugar
understand,comprender
actually,Realmente
hear,escuchar
nice,bonito
father,padre
stay,permanecer
done,hecho
wasn't,no estaba
their,su
course,curso
mind,mente
every,cada
enough,suficiente
try,tratar
hell,infierno
someone,alguien
own,propio
family,familia
whole,entero
another,otro
house or House,casa o casa
Jack or jack,Jack o Jack
idea,ocurrencia
ask,preguntar
best,mejor
must,deber
coming,viniendo
old,viejo
looking,buscando
woman,mujer
hello,Hola
which,cual
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,VERDADERO
son,hijo
hope,esperanza
name,nombre
same,mismo
went,fuimos
um,um
hmm,mmm
happy,feliz
pretty,bonito
saw,vio
girl,muchacha
show,show
friend,amigo
already,ya
saying,diciendo
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no tiene
honey,miel
matter,importar
myself,yo mismo
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,ocurrir
we've,Hemos
hurt,herir
boy,chico
both,ambos
while,mientras
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,usted
today,hoy dia
car,carro
ready,Listo
until,hasta
without,sin que
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
seen,visto
deal,acuerdo
once,una vez
gone,desaparecido
called,llamado
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
used,usado
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,colegio
face,rostro
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,porque
soon,pronto
knows,conocido
few,pocos
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,Muevete
anyone,alguien
person,persona
J.,J.
